date,3EURpool-f,APEUSDBP3CRV-f,BEAN3CRV-f,BTCpx/sbtcCRV-f,BUSD-3Crv,BUSDFRAXBP3CRV-f,CRVlvUSD3CRV-f,D3-f,DAI-USDC-USDT,DAI-USDC-USDT-sUSD,DOLA3POOL3CRV-f,DSU3CRV-f,DUSD-3Crv,ETH-sETH,EURN/EURT-f,EUROC/3CRV3CRV-f,FEI3CRV3CRV-f,FIAT+3Crv3CRV-f,GUSD-3Crv,GUSDFRAXBP3CRV-f,HBTC-WBTC,HOME+3crv3CRV-f,HUSD-3Crv,LUSDFRAXBP3CRV-f,MIM-UST-f,OUSD3CRV-f,PUSd-3CRV-f,PWRD3CRV-f,PWRD3CRV3CRV-f,RAMP rUSD3CRV-f,RSV-3Crv,STETHETH_C-f,SUSDFRAXBP3CRV-f,TUSD-3Crv,TUSDFRAXBP3CRV-f,TriCRV-f,USDD3CRV3CRV-f,USDDFRAXBP3CRV-f,USDK-3Crv,USDM3CRV-f,USDN-3Crv,UST-FRAX-f,UST_whv23CRV-f,XIM3CRV-f,XSTUSD3CRV-f,a3CRV,aETHb-f,aMATICb-f,aUSDC+aDAI-f,ag+ib-EUR-f,alETH+ETH-f,alUSDFRAXB3CRV-f,ankrCRV,bBTC/sbtcCRV,bveCVX-CVX-f,cDAI-cUSDC,cDAI-cUSDC-USDT,clevCVX-f,crv3crypto,crvTricrypto,cvxcrv-f,dfx2CAD-f,europool-f,eursCRV,fxEUR_CRV-f,ib3CRV,ibAUD+sAUD-f,ibCHF+sCHF-f,ibEUR+sEUR-f,ibGBP+sGBP-f,ibJPY+sJPY-f,ibKRW+sKRW-f,ibZAR+ZARP-f,ibbtc/sbtcCRV-f,ibbtc/sbtcCRV-f,linkCRV,mUSD-3Crv,oBTC/sbtcCRV,pBTC/sbtcCRV,pax-usdp3CRV-f,pbtc/sbtcCRV-f,rCRV,rETHwstETH-f,renBTC-WBTC,renBTC-WBTC-sBTC,sETH2stETH-f,sUSD3CRV-f,saCRV,sdAGAG-f,sdCRV-f,sdCRVCRV-f,sdFXSFXS-f,steCRV,tbtc/sbtcCrv,tbtc2/sbtcCRV-f,usdp3CRV,ust3CRV,xFraxTplLP-f,yDAI-yUSDC-yUSDT-yBUSD,yDAI-yUSDC-yUSDT-yTUSD,ycDAI-ycUSDC-ycUSDT-USDP
2021-09-12,0.0,0.0,0.0,0.0,1.3194561043542188,0.0,0.0,0.0,2.830814300693871,2.096762659768648,nan,0.0,5.488509503280516,0.49856086003336836,0.0,0.0,nan,0.0,3.031356039496876,0.0,1.480830702143308,0.0,2.10444465353338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03089736075801,0.0,0.0,2.6376378399137295,0.0,0.0,0.0,0.0,3.2377635887825926,0.0,5.164813488176871,0.0,0.0,0.0,0.0,0.62849088407765,0.0,0.0,0.0,0.0,0.0,0.0,0.7280599677238043,3.8208042421420862,0.0,2.405322812205485,1.2765678437580292,0.0,inf,inf,inf,0.0,0.0,inf,0.0,3.2018019102660813,inf,inf,21.149738606461042,inf,inf,0.037103143059961124,0.0,0.0,0.0,inf,4.309705720000314,5.620124500964622,4.863616694817561,0.0,0.0,0.462068907347198,0.0,1.70409288809952,5.158091219260999,0.0,0.0,2.8197567530838126,0.0,0.0,0.0,0.0,0.29335584662052744,5.379628308690946,0.0,3.148663375322131,1.2590633936038509,0.0,2.81339707626304,0.1967074638206664,1.7360078095732905
2021-09-13,0.0,0.0,0.0,0.0,1.562603234507538,0.0,0.0,0.0,2.9230315011539556,2.24190404789984,nan,0.0,5.855083414672143,0.5488961619015866,0.0,0.0,nan,0.0,3.234463106210671,0.0,1.5478829995306587,0.0,2.245245460014347,0.0,0.0,0.0,0.0,0.0,nan,0.0,7.4824288383409705,0.0,0.0,2.8158003292478253,0.0,0.0,0.0,0.0,3.4466750517926004,0.0,5.5039396005130055,0.0,0.0,0.0,0.0,0.6799489983092479,0.0,0.0,0.0,0.0,0.0,0.0,0.7459177164264023,4.086399456704832,0.0,2.5610521934054353,1.3618969824354745,0.0,inf,inf,inf,0.0,0.0,inf,0.0,3.4712620551510907,inf,inf,22.534388597330224,inf,inf,0.03958577049191933,0.0,0.0,0.0,inf,4.612462922650492,5.41004387658157,5.045959460762868,0.0,0.0,0.4699515678289674,0.0,1.7917232690477018,5.257105414877073,0.0,0.0,3.0565428557923937,0.0,0.0,0.0,0.0,0.2858789489434709,5.540605324111374,0.0,3.3887650474794597,1.3388977935891317,0.0,2.9944687510177306,0.20989238351129588,1.8521560013337335
2021-09-14,0.0,0.0,0.0,0.0,1.5334889453763405,0.0,0.0,0.0,2.858220491064034,2.1978004984029074,nan,0.0,5.803645948552502,0.5572938092819277,0.0,0.0,nan,0.0,3.1088001984151803,0.0,1.5582877400703041,0.0,2.172392054041783,0.0,0.0,0.0,0.0,0.0,nan,0.0,7.309669698396676,0.0,0.0,2.6881416028263874,0.0,0.0,0.0,0.0,3.379034731348459,0.0,5.37246908253805,0.0,0.0,0.0,0.0,0.6707203606203702,0.0,0.0,0.0,0.0,0.0,0.0,0.8102983807229149,4.0936383469362525,0.0,2.5062447839650037,1.3350937467701018,0.0,inf,inf,inf,0.0,0.0,inf,0.0,3.501790732164726,inf,inf,19.082564650687377,inf,inf,0.03170772337818375,0.0,0.0,0.0,inf,4.521950909446486,5.407600052402253,5.041617159474564,0.0,0.0,0.4774432629436177,0.0,1.7929753473767809,4.9908262338899405,0.0,0.0,3.0578938204867225,0.0,0.0,0.0,0.0,0.29209234318505606,5.495929497372266,0.0,3.398218416460185,1.3125354850979856,0.0,2.9143531942753675,0.20613673652451606,1.815802460637061
2021-09-15,0.0,0.0,0.0,nan,1.8111393025032334,0.0,0.0,0.0,3.1934204777733974,2.658542482450701,nan,0.0,6.8637778319121034,0.6299093835425714,0.0,0.0,nan,0.0,3.6708203906818886,0.0,1.70408543375919,0.0,2.5555643515058515,0.0,0.0,0.0,0.0,0.0,nan,0.0,9.08234163805779,0.0,0.0,3.1497951189391937,0.0,0.0,0.0,0.0,3.962276111451994,0.0,6.341745623616603,0.0,0.0,0.0,0.0,0.7671170849401643,0.0,0.0,0.0,0.0,0.0,0.0,0.8917619848897964,4.876089134835746,0.0,2.971498166802963,1.5757174345295124,0.0,inf,inf,inf,0.0,0.0,inf,0.0,4.125482267397105,inf,inf,25.824959344823924,inf,inf,0.03666063185081636,0.0,0.0,0.0,inf,5.295001447773861,6.135094891338974,5.337126396904905,0.0,0.0,0.5190836802200274,0.0,2.0230240028436897,5.266877483747566,0.0,0.0,3.5384634871274225,0.0,0.0,0.0,0.0,0.3318619093605222,6.195070251374758,0.0,4.040167403544358,1.541624946235344,0.0,3.4508006626881103,0.24561704376211052,2.143182335517209
2021-09-16,0.0,0.0,0.0,nan,1.95475706663733,0.0,0.0,0.0,3.0891998980263904,2.8501981878926284,nan,0.0,7.314499863792815,0.626402738411654,0.0,0.0,nan,0.0,3.7783127315609386,0.0,1.7264413570460275,0.0,2.741148668736741,0.0,0.0,0.15170020365191192,0.0,0.0,nan,0.0,9.7431403144126,0.0,0.0,3.3806483736680852,0.0,0.0,0.0,0.0,4.25064571286957,0.0,6.948316759185179,0.0,0.0,0.0,0.0,0.8209742955732926,0.0,0.0,0.0,0.0,0.0,0.0,0.9093389225223936,5.106625351969787,0.0,3.1328227711812087,1.6897142875225337,0.0,inf,inf,inf,0.0,0.0,inf,0.0,4.4159565336337945,inf,inf,24.052917097036364,inf,inf,0.030255228168694866,0.0,0.0,0.0,inf,5.63663123510575,6.379776394089998,5.590815673643302,0.0,0.0,0.5311062411778336,0.0,2.063568261148691,5.555662456772059,0.0,0.0,3.8474128311652143,0.0,nan,0.0,0.0,0.3108219231565139,6.4172634683114165,0.0,4.343359102509828,1.6549287285400949,0.0,3.713615409425127,0.2637088414111101,2.313367586434666
2021-09-17,0.0,0.0,0.0,nan,2.042529907655514,0.0,0.0,0.0,3.0839265220113328,3.644387590941701,nan,0.0,7.482549341106417,0.6908142413772077,0.0,0.0,nan,0.0,3.8715278755679003,0.0,1.781994234615113,0.0,2.8108234578812663,0.0,0.0,0.15555604719257185,0.0,0.0,nan,0.0,10.039744185402082,0.0,0.0,3.466577643256937,0.0,0.0,0.0,0.0,4.358678133140003,0.0,6.994794443059169,0.0,0.0,0.0,0.0,0.8319586184006013,0.0,0.0,0.0,0.0,0.0,0.0,0.9630528521111731,5.002591742171068,0.0,3.160568621193807,1.159344383182272,0.0,inf,inf,inf,0.0,0.0,inf,0.0,4.538834552548878,inf,inf,21.46079665257033,inf,inf,0.026965864283334987,0.0,0.0,0.0,inf,5.779786562839152,5.796597596699189,5.747120539238783,0.0,0.0,0.5466424099605532,0.0,2.0756419311484238,5.487400992627027,0.0,0.0,3.7094753872187294,0.0,nan,0.0,0.0,0.3135156190523243,6.584004027197657,0.0,4.501499969031611,1.697903661434948,0.0,3.802854462558018,0.27040196296208313,2.372166741692796
2021-09-18,0.0,0.0,0.0,nan,1.8591336643311966,0.0,0.0,0.0,2.677449084908842,3.2909288752217263,nan,0.0,6.757373180515354,0.6339103692215871,0.0,0.0,nan,0.0,3.4946041365147527,0.0,1.6485081027540687,0.0,2.5399559391973385,0.0,0.0,0.14056564782092004,0.0,0.0,nan,0.0,9.070606572315867,0.0,0.0,3.298103150190705,0.0,0.0,0.0,0.0,3.938643908971841,0.0,6.296529535226342,0.0,0.0,0.0,0.0,0.7448267603928125,0.0,0.0,0.0,0.0,0.0,0.0,0.9231515619650028,4.590770933863999,0.0,2.8531595083656,1.0474949497047934,0.0,inf,inf,inf,0.0,0.0,inf,0.0,4.127713598679555,inf,inf,17.966778332479517,inf,inf,0.018866187317758007,0.0,0.0,0.0,inf,5.198323227030556,5.31397217440327,5.269488591129436,0.0,0.0,0.5171931283800433,0.0,1.8308898972524812,4.97738797586168,0.0,0.0,2.544980611752215,0.0,nan,0.0,0.0,0.2960079627722128,5.973538868203003,0.0,4.093156647027402,1.5342734522331953,0.0,3.3981529871364056,0.24433614954947908,2.5417236933780414
2021-09-19,0.0,0.0,0.0,nan,1.9110282416891098,0.0,0.0,0.0,2.890258162404499,3.366771573929745,nan,0.0,6.924407733130048,0.6481225416715756,0.0,0.0,nan,0.0,3.4872220182209417,0.0,1.6657298508359393,0.0,2.605252756076277,0.0,0.0,0.1441775198888538,0.0,0.0,nan,0.0,9.29814778307554,0.0,0.0,3.382878180076019,0.0,0.0,0.0,0.0,4.039893968393264,0.0,6.427005138025891,0.0,0.0,0.0,0.0,0.8833302232540043,0.0,0.0,0.0,0.0,0.0,0.0,0.9440610704969747,4.666210946407501,0.0,2.932469191834637,1.0711144157862054,0.0,inf,inf,inf,0.0,0.0,inf,0.0,4.222380911970651,inf,inf,17.40871015640306,inf,inf,0.018463467681573628,0.0,0.0,0.0,inf,5.333387975121729,5.3337182412337665,5.3037334115338,0.0,0.0,0.5279499865622175,0.0,1.8406972014732323,5.0014555152243565,0.0,0.0,2.654164672028349,0.0,nan,0.0,0.0,0.3013900145675774,5.917327518827041,0.0,5.5374269207176585,1.567795756200898,0.0,3.4829714279048267,0.25061768962064723,2.5017466034518234
2021-09-20,0.0,0.0,0.0,nan,2.025502279628727,0.0,0.0,0.0,2.6967761526511866,3.565428348422088,nan,0.0,7.327464284376467,0.7216690706321761,0.0,0.0,nan,0.0,3.691641956579754,0.0,1.7984166492372988,0.0,2.759812013557806,0.0,0.0,0.1527288613929134,0.0,0.0,nan,0.0,10.084221454934532,0.0,0.0,3.5651058845322057,0.0,0.0,0.0,0.0,4.279557872059968,0.0,6.789634926774017,0.0,0.0,0.0,0.0,0.9318163026785009,0.0,0.0,0.0,0.0,0.0,0.0,1.0283975988958272,5.038416840119049,0.0,3.1328435634603435,1.1345929694590433,0.0,inf,inf,inf,0.0,0.0,inf,0.0,4.52925296847925,inf,inf,18.629420418458903,inf,inf,0.014510284530375096,0.0,0.0,0.0,inf,5.646929398148578,5.752792018910711,5.636755502011931,0.0,0.0,0.5904170791679825,0.0,2.001068331628469,5.386115858263323,0.0,0.0,2.8206406259536765,0.0,nan,0.0,0.0,0.3270888020266661,6.388421682075854,0.0,5.882075108966392,1.6607759369542254,0.0,3.684758274124056,0.26560645238385344,2.65015232803787
2021-09-21,0.0,0.0,0.0,nan,1.601382413815359,0.0,0.0,0.0,2.162992852802435,2.8852260827697096,nan,0.0,5.744752897452226,0.6457577603821567,0.0,0.0,nan,0.0,2.9173825232492305,0.0,1.5725536551445207,0.0,2.184427380564936,0.0,0.0,0.12088620618696887,0.0,0.0,nan,0.0,7.981251682339541,0.0,0.0,2.321964942622667,0.0,0.0,0.0,0.0,3.387315854193053,0.0,5.623758040950388,0.0,0.0,0.0,0.0,0.7374691512719259,0.0,0.0,0.0,0.0,0.0,0.0,0.7946887774948399,4.391522069836384,0.0,2.5232141635908594,0.8979962426985014,0.0,inf,inf,inf,0.0,0.0,inf,0.0,3.603449594681909,inf,inf,13.90100630940267,inf,inf,0.01163762442192479,0.0,0.0,0.0,inf,4.480532601516124,5.3794931116459495,4.962907363206217,0.0,0.0,0.5245883415567074,0.0,1.7822614181515928,4.561210997304446,0.0,0.0,2.297548934754644,0.0,nan,0.0,0.0,0.2912118026871017,5.56974035077396,0.0,4.773368569136642,1.3373519876817457,0.0,2.918025058344496,0.2126885158455032,2.097633795313059
